mean=0.887, std=0.023, quantiles=(0.830, 0.869, 0.886, 0.906, 0.938)
mean=0.887, std=0.023, quantiles=(0.830, 0.868, 0.886, 0.906, 0.938)
mean=0.886, std=0.023, quantiles=(0.830, 0.868, 0.885, 0.905, 0.938)
mean=0.886, std=0.023, quantiles=(0.830, 0.868, 0.885, 0.905, 0.939)
mean=0.886, std=0.023, quantiles=(0.830, 0.868, 0.885, 0.905, 0.940)
mean=0.886, std=0.024, quantiles=(0.825, 0.868, 0.885, 0.905, 0.940)
mean=0.886, std=0.024, quantiles=(0.825, 0.868, 0.884, 0.904, 0.940)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.884, 0.904, 0.940)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.883, 0.904, 0.941)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.883, 0.903, 0.941)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.882, 0.903, 0.941)
mean=0.884, std=0.024, quantiles=(0.824, 0.866, 0.882, 0.903, 0.941)
mean=0.885, std=0.024, quantiles=(0.824, 0.867, 0.882, 0.904, 0.941)
mean=0.884, std=0.024, quantiles=(0.824, 0.866, 0.881, 0.903, 0.940)
mean=0.884, std=0.024, quantiles=(0.824, 0.866, 0.881, 0.903, 0.940)
mean=0.884, std=0.024, quantiles=(0.826, 0.866, 0.881, 0.903, 0.940)
mean=0.884, std=0.024, quantiles=(0.826, 0.865, 0.881, 0.903, 0.940)
mean=0.883, std=0.024, quantiles=(0.826, 0.865, 0.880, 0.902, 0.940)
mean=0.936, std=0.011, quantiles=(0.860, 0.933, 0.940, 0.942, 0.945)
mean=0.932, std=0.016, quantiles=(0.847, 0.931, 0.938, 0.941, 0.945)
mean=0.927, std=0.015, quantiles=(0.848, 0.921, 0.934, 0.936, 0.942)
mean=0.926, std=0.015, quantiles=(0.849, 0.917, 0.934, 0.937, 0.943)
mean=0.924, std=0.015, quantiles=(0.850, 0.915, 0.929, 0.937, 0.942)
mean=0.924, std=0.016, quantiles=(0.850, 0.915, 0.928, 0.937, 0.943)
mean=0.924, std=0.016, quantiles=(0.851, 0.916, 0.928, 0.937, 0.943)
mean=0.924, std=0.015, quantiles=(0.851, 0.916, 0.927, 0.936, 0.945)
mean=0.924, std=0.015, quantiles=(0.852, 0.916, 0.926, 0.935, 0.946)
mean=0.922, std=0.017, quantiles=(0.841, 0.916, 0.926, 0.935, 0.946)
mean=0.921, std=0.018, quantiles=(0.841, 0.911, 0.925, 0.934, 0.944)
mean=0.920, std=0.019, quantiles=(0.841, 0.909, 0.925, 0.933, 0.945)
mean=0.919, std=0.019, quantiles=(0.842, 0.907, 0.922, 0.933, 0.944)
mean=0.916, std=0.019, quantiles=(0.842, 0.903, 0.921, 0.933, 0.943)
mean=0.916, std=0.020, quantiles=(0.842, 0.903, 0.920, 0.933, 0.943)
mean=0.915, std=0.019, quantiles=(0.842, 0.903, 0.919, 0.932, 0.942)
mean=0.916, std=0.019, quantiles=(0.842, 0.903, 0.920, 0.933, 0.943)
mean=0.916, std=0.019, quantiles=(0.842, 0.904, 0.919, 0.932, 0.943)
mean=0.916, std=0.019, quantiles=(0.842, 0.904, 0.919, 0.932, 0.944)
mean=0.916, std=0.019, quantiles=(0.842, 0.904, 0.918, 0.931, 0.944)
mean=0.915, std=0.019, quantiles=(0.842, 0.903, 0.917, 0.930, 0.944)
mean=0.914, std=0.018, quantiles=(0.842, 0.903, 0.916, 0.928, 0.944)
mean=0.913, std=0.020, quantiles=(0.838, 0.902, 0.916, 0.928, 0.944)
mean=0.913, std=0.019, quantiles=(0.838, 0.902, 0.916, 0.928, 0.944)
mean=0.912, std=0.021, quantiles=(0.834, 0.902, 0.916, 0.928, 0.945)
mean=0.910, std=0.022, quantiles=(0.834, 0.898, 0.914, 0.927, 0.945)
mean=0.909, std=0.022, quantiles=(0.834, 0.895, 0.912, 0.927, 0.945)
mean=0.908, std=0.022, quantiles=(0.834, 0.896, 0.912, 0.926, 0.945)
mean=0.908, std=0.021, quantiles=(0.834, 0.896, 0.911, 0.925, 0.946)
mean=0.908, std=0.021, quantiles=(0.834, 0.896, 0.910, 0.924, 0.945)
mean=0.908, std=0.021, quantiles=(0.834, 0.896, 0.911, 0.924, 0.945)
mean=0.907, std=0.021, quantiles=(0.834, 0.894, 0.910, 0.924, 0.945)
mean=0.905, std=0.022, quantiles=(0.835, 0.891, 0.909, 0.923, 0.943)
mean=0.905, std=0.022, quantiles=(0.835, 0.891, 0.907, 0.922, 0.943)
mean=0.905, std=0.021, quantiles=(0.835, 0.891, 0.907, 0.921, 0.943)
mean=0.904, std=0.021, quantiles=(0.835, 0.890, 0.906, 0.921, 0.943)
mean=0.903, std=0.021, quantiles=(0.835, 0.887, 0.905, 0.920, 0.942)
mean=0.903, std=0.021, quantiles=(0.835, 0.887, 0.905, 0.920, 0.942)
mean=0.902, std=0.021, quantiles=(0.835, 0.886, 0.903, 0.919, 0.942)
mean=0.901, std=0.022, quantiles=(0.831, 0.886, 0.903, 0.919, 0.942)
mean=0.901, std=0.023, quantiles=(0.831, 0.885, 0.902, 0.919, 0.942)
mean=0.900, std=0.023, quantiles=(0.831, 0.884, 0.902, 0.919, 0.943)
mean=0.900, std=0.024, quantiles=(0.829, 0.884, 0.902, 0.919, 0.943)
mean=0.899, std=0.023, quantiles=(0.829, 0.884, 0.901, 0.917, 0.943)
mean=0.899, std=0.023, quantiles=(0.829, 0.884, 0.901, 0.916, 0.943)
mean=0.898, std=0.022, quantiles=(0.829, 0.884, 0.901, 0.915, 0.942)
mean=0.898, std=0.023, quantiles=(0.829, 0.882, 0.901, 0.915, 0.942)
mean=0.898, std=0.023, quantiles=(0.829, 0.882, 0.900, 0.915, 0.942)
mean=0.897, std=0.023, quantiles=(0.829, 0.880, 0.899, 0.915, 0.942)
mean=0.896, std=0.023, quantiles=(0.829, 0.879, 0.899, 0.915, 0.942)
mean=0.896, std=0.023, quantiles=(0.829, 0.879, 0.898, 0.915, 0.942)
mean=0.896, std=0.023, quantiles=(0.829, 0.878, 0.897, 0.914, 0.942)
mean=0.895, std=0.023, quantiles=(0.829, 0.879, 0.897, 0.912, 0.941)
mean=0.895, std=0.023, quantiles=(0.829, 0.878, 0.897, 0.912, 0.941)
mean=0.894, std=0.024, quantiles=(0.829, 0.875, 0.896, 0.912, 0.941)
mean=0.893, std=0.024, quantiles=(0.829, 0.875, 0.895, 0.912, 0.941)
mean=0.893, std=0.024, quantiles=(0.829, 0.875, 0.895, 0.912, 0.941)
mean=0.892, std=0.024, quantiles=(0.829, 0.873, 0.893, 0.912, 0.941)
mean=0.892, std=0.024, quantiles=(0.829, 0.873, 0.893, 0.912, 0.941)
mean=0.892, std=0.024, quantiles=(0.830, 0.873, 0.892, 0.912, 0.941)
mean=0.891, std=0.024, quantiles=(0.830, 0.873, 0.892, 0.911, 0.941)
mean=0.891, std=0.024, quantiles=(0.830, 0.872, 0.892, 0.910, 0.941)
mean=0.891, std=0.024, quantiles=(0.830, 0.872, 0.891, 0.910, 0.942)
mean=0.890, std=0.024, quantiles=(0.830, 0.872, 0.891, 0.909, 0.942)
mean=0.890, std=0.024, quantiles=(0.830, 0.872, 0.891, 0.909, 0.942)
mean=0.890, std=0.023, quantiles=(0.830, 0.872, 0.891, 0.908, 0.942)
mean=0.890, std=0.023, quantiles=(0.830, 0.872, 0.890, 0.908, 0.941)
mean=0.890, std=0.023, quantiles=(0.830, 0.872, 0.890, 0.908, 0.941)
mean=0.889, std=0.024, quantiles=(0.830, 0.870, 0.890, 0.908, 0.941)
mean=0.889, std=0.024, quantiles=(0.830, 0.869, 0.889, 0.908, 0.941)
mean=0.888, std=0.024, quantiles=(0.830, 0.869, 0.887, 0.907, 0.942)
mean=0.888, std=0.023, quantiles=(0.830, 0.869, 0.887, 0.907, 0.939)
mean=0.887, std=0.023, quantiles=(0.830, 0.869, 0.886, 0.906, 0.938)
mean=0.887, std=0.023, quantiles=(0.830, 0.868, 0.886, 0.906, 0.938)
